date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2020-02-29,1,1,1,8419000,1
2020-03-01,0,0,1,8419000,1
2020-03-02,0,0,1,8419000,1
2020-03-03,1,0,1,8419000,1
2020-03-04,5,1,2,8419000,1
2020-03-05,3,2,4,8419000,1
2020-03-06,8,3,7,8419000,1
2020-03-07,7,3,10,8419000,1
2020-03-08,21,6,16,8419000,1
2020-03-09,57,15,31,8419000,1
2020-03-10,69,24,55,8419000,1
2020-03-11,155,46,101,8419000,1
2020-03-12,355,96,197,8419000,1
2020-03-13,619,183,380,8419000,1
2020-03-14,642,274,654,8419000,1
2020-03-15,1034,419,1073,8419000,1
2020-03-16,2121,714,1787,8419000,1
2020-03-17,2452,1054,2841,8419000,1
2020-03-18,2971,1456,4297,8419000,1
2020-03-19,3706,1935,6232,8419000,1
2020-03-20,4007,2419,8651,8419000,1
2020-03-21,2639,2704,11355,8419000,1
2020-03-22,2580,2925,14280,8419000,1
2020-03-23,3570,3132,17412,8419000,1
2020-03-24,4496,3424,20836,8419000,1
2020-03-25,4874,3696,24532,8419000,1
2020-03-26,5044,3887,28419,8419000,1
2020-03-27,5119,4046,32465,8419000,1
2020-03-28,3479,4166,36631,8419000,1
2020-03-29,3560,4306,40937,8419000,1
2020-03-30,6129,4672,45609,8419000,1
2020-03-31,5458,4809,50418,8419000,1
2020-04-01,5449,4891,55309,8419000,1
2020-04-02,5746,4991,60300,8419000,1
2020-04-03,5670,5070,65370,8419000,1
2020-04-04,3866,5125,70495,8419000,1
2020-04-05,3780,5157,75652,8419000,1
2020-04-06,6353,5189,80841,8419000,1
2020-04-07,6044,5273,86114,8419000,1
2020-04-08,5575,5291,91405,8419000,1
2020-04-09,5070,5194,96599,8419000,1
2020-04-10,4510,5028,101627,8419000,1
2020-04-11,3732,5009,106636,8419000,1
2020-04-12,2887,4882,111518,8419000,1
2020-04-13,3311,4447,115965,8419000,1
2020-04-14,4144,4176,120141,8419000,1
2020-04-15,3876,3933,124074,8419000,1
2020-04-16,3530,3713,127787,8419000,1
2020-04-17,3586,3581,131368,8419000,1
2020-04-18,2172,3358,134726,8419000,1
2020-04-19,2343,3280,138006,8419000,1
2020-04-20,3792,3349,141355,8419000,1
2020-04-21,3062,3194,144549,8419000,1
2020-04-22,3446,3133,147682,8419000,1
2020-04-23,2841,3035,150717,8419000,1
2020-04-24,2535,2884,153601,8419000,1
2020-04-25,1595,2802,156403,8419000,1
2020-04-26,1003,2611,159014,8419000,1
2020-04-27,2290,2396,161410,8419000,1
2020-04-28,2726,2348,163758,8419000,1
2020-04-29,2340,2190,165948,8419000,1
2020-04-30,2022,2073,168021,8419000,1
2020-05-01,1887,1980,170001,8419000,1
2020-05-02,1058,1904,171905,8419000,1
2020-05-03,787,1873,173778,8419000,1
2020-05-04,1550,1767,175545,8419000,1
2020-05-05,1512,1594,177139,8419000,1
2020-05-06,1397,1459,178598,8419000,1
2020-05-07,1238,1347,179945,8419000,1
2020-05-08,1079,1232,181177,8419000,1
2020-05-09,657,1174,182351,8419000,1
2020-05-10,457,1127,183478,8419000,1
2020-05-11,1231,1082,184560,8419000,1
2020-05-12,1285,1049,185609,8419000,1
2020-05-13,1333,1040,186649,8419000,1
2020-05-14,1110,1022,187671,8419000,1
2020-05-15,873,992,188663,8419000,1
2020-05-16,485,968,189631,8419000,1
