date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2020-02-25,1,1,1,2065647,1
2020-02-26,0,0,1,2065647,1
2020-02-27,0,0,1,2065647,1
2020-02-28,0,0,1,2065647,1
2020-02-29,0,0,1,2065647,1
2020-03-01,0,0,1,2065647,1
2020-03-02,2,0,1,2065647,1
2020-03-03,0,0,1,2065647,1
2020-03-04,0,0,1,2065647,1
2020-03-05,0,0,1,2065647,1
2020-03-06,0,0,1,2065647,1
2020-03-07,0,0,1,2065647,1
2020-03-08,1,0,1,2065647,1
2020-03-09,1,0,1,2065647,1
2020-03-10,2,1,2,2065647,1
2020-03-11,3,1,3,2065647,1
2020-03-12,3,1,4,2065647,1
2020-03-13,2,2,6,2065647,1
2020-03-14,5,2,8,2065647,1
2020-03-15,6,3,11,2065647,1
2020-03-16,5,4,15,2065647,1
2020-03-17,7,4,19,2065647,1
2020-03-18,6,5,24,2065647,1
2020-03-19,36,10,34,2065647,1
2020-03-20,49,16,50,2065647,1
2020-03-21,90,28,78,2065647,1
2020-03-22,90,40,118,2065647,1
2020-03-23,133,59,177,2065647,1
2020-03-24,144,78,255,2065647,1
2020-03-25,187,104,359,2065647,1
2020-03-26,180,125,484,2065647,1
2020-03-27,243,152,636,2065647,1
2020-03-28,200,168,804,2065647,1
2020-03-29,259,192,996,2065647,1
2020-03-30,266,211,1207,2065647,1
2020-03-31,331,238,1445,2065647,1
2020-04-01,305,255,1700,2065647,1
2020-04-02,408,287,1987,2065647,1
2020-04-03,348,302,2289,2065647,1
2020-04-04,340,322,2611,2065647,1
2020-04-05,261,323,2934,2065647,1
2020-04-06,456,350,3284,2065647,1
2020-04-07,423,363,3647,2065647,1
2020-04-08,374,373,4020,2065647,1
2020-04-09,350,365,4385,2065647,1
2020-04-10,305,358,4743,2065647,1
2020-04-11,264,348,5091,2065647,1
2020-04-12,329,357,5448,2065647,1
2020-04-13,542,370,5818,2065647,1
2020-04-14,469,376,6194,2065647,1
2020-04-15,613,410,6604,2065647,1
2020-04-16,497,431,7035,2065647,1
2020-04-17,571,469,7504,2065647,1
2020-04-18,329,479,7983,2065647,1
2020-04-19,432,493,8476,2065647,1
2020-04-20,481,485,8961,2065647,1
2020-04-21,461,483,9444,2065647,1
2020-04-22,536,472,9916,2065647,1
2020-04-23,530,477,10393,2065647,1
2020-04-24,495,466,10859,2065647,1
2020-04-25,318,465,11324,2065647,1
2020-04-26,287,444,11768,2065647,1
2020-04-27,462,441,12209,2065647,1
2020-04-28,475,443,12652,2065647,1
2020-04-29,522,441,13093,2065647,1
2020-04-30,587,449,13542,2065647,1
2020-05-01,621,467,14009,2065647,1
2020-05-02,525,497,14506,2065647,1
2020-05-03,345,505,15011,2065647,1
2020-05-04,422,500,15511,2065647,1
2020-05-05,471,499,16010,2065647,1
2020-05-06,568,506,16516,2065647,1
2020-05-07,431,483,16999,2065647,1
2020-05-08,433,456,17455,2065647,1
2020-05-09,314,426,17881,2065647,1
2020-05-10,299,420,18301,2065647,1
2020-05-11,363,411,18712,2065647,1
2020-05-12,430,405,19117,2065647,1
2020-05-13,402,382,19499,2065647,1
2020-05-14,354,371,19870,2065647,1
2020-05-15,346,358,20228,2065647,1
2020-05-16,272,352,20580,2065647,1
2020-05-17,336,358,20938,2065647,1
2020-05-18,332,353,21291,2065647,1
2020-05-19,316,337,21628,2065647,1
2020-05-20,408,338,21966,2065647,1
2020-05-21,380,341,22307,2065647,1
2020-05-22,254,328,22635,2065647,1
2020-05-23,218,321,22956,2065647,1
2020-05-24,215,303,23259,2065647,1
2020-05-25,208,286,23545,2065647,1
2020-05-26,240,275,23820,2065647,1
2020-05-27,254,253,24073,2065647,1
