date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2020-02-29,1,1,1,8419000,1
2020-03-01,0,0,1,8419000,1
2020-03-02,0,0,1,8419000,1
2020-03-03,1,0,1,8419000,1
2020-03-04,5,2,3,8419000,1
2020-03-05,3,3,6,8419000,1
2020-03-06,8,5,11,8419000,1
2020-03-07,7,6,17,8419000,1
2020-03-08,21,12,29,8419000,1
2020-03-09,57,28,57,8419000,1
2020-03-10,69,49,106,8419000,1
2020-03-11,155,94,200,8419000,1
2020-03-12,355,193,393,8419000,1
2020-03-13,619,376,769,8419000,1
2020-03-14,642,539,1308,8419000,1
2020-03-15,1034,765,2073,8419000,1
2020-03-16,2121,1266,3339,8419000,1
2020-03-17,2452,1869,5208,8419000,1
2020-03-18,2971,2515,7723,8419000,1
2020-03-19,3706,3043,10766,8419000,1
2020-03-20,4007,3561,14327,8419000,1
2020-03-21,2639,3451,17778,8419000,1
2020-03-22,2580,3075,20853,8419000,1
2020-03-23,3570,2930,23783,8419000,1
2020-03-24,4496,3549,27332,8419000,1
2020-03-25,4874,4313,31645,8419000,1
2020-03-26,5044,4805,36450,8419000,1
2020-03-27,5119,5012,41462,8419000,1
2020-03-28,3479,4547,46009,8419000,1
2020-03-29,3560,4053,50062,8419000,1
2020-03-30,6129,4389,54451,8419000,1
2020-03-31,5458,5049,59500,8419000,1
2020-04-01,5449,5679,65179,8419000,1
2020-04-02,5746,5551,70730,8419000,1
2020-04-03,5670,5622,76352,8419000,1
2020-04-04,3866,5094,81446,8419000,1
2020-04-05,3780,4439,85885,8419000,1
2020-04-06,6353,4666,90551,8419000,1
2020-04-07,6044,5392,95943,8419000,1
2020-04-08,5575,5991,101934,8419000,1
2020-04-09,5070,5563,107497,8419000,1
2020-04-10,4510,5052,112549,8419000,1
2020-04-11,3732,4437,116986,8419000,1
2020-04-12,2887,3710,120696,8419000,1
2020-04-13,3311,3310,124006,8419000,1
2020-04-14,4144,3447,127453,8419000,1
2020-04-15,3876,3777,131230,8419000,1
2020-04-16,3530,3850,135080,8419000,1
2020-04-17,3586,3664,138744,8419000,1
2020-04-18,2172,3096,141840,8419000,1
2020-04-19,2343,2700,144540,8419000,1
2020-04-20,3792,2769,147309,8419000,1
2020-04-21,3062,3066,150375,8419000,1
2020-04-22,3446,3433,153808,8419000,1
2020-04-23,2841,3116,156924,8419000,1
2020-04-24,2535,2941,159865,8419000,1
2020-04-25,1595,2324,162189,8419000,1
2020-04-26,1003,1711,163900,8419000,1
2020-04-27,2290,1629,165529,8419000,1
2020-04-28,2726,2006,167535,8419000,1
2020-04-29,2340,2452,169987,8419000,1
2020-04-30,2022,2363,172350,8419000,1
2020-05-01,1887,2083,174433,8419000,1
2020-05-02,1058,1656,176089,8419000,1
2020-05-03,787,1244,177333,8419000,1
2020-05-04,1550,1132,178465,8419000,1
2020-05-05,1512,1283,179748,8419000,1
2020-05-06,1397,1486,181234,8419000,1
2020-05-07,1238,1382,182616,8419000,1
2020-05-08,1079,1238,183854,8419000,1
2020-05-09,657,991,184845,8419000,1
2020-05-10,457,731,185576,8419000,1
2020-05-11,1231,782,186358,8419000,1
2020-05-12,1285,991,187349,8419000,1
2020-05-13,1333,1283,188632,8419000,1
2020-05-14,1110,1243,189875,8419000,1
2020-05-15,873,1105,190980,8419000,1
2020-05-16,485,823,191803,8419000,1
2020-05-17,360,573,192376,8419000,1
