date,dailyCases,Population,peak
2020-02-29,1,8804190,1
2020-03-01,0,8804190,1
2020-03-02,0,8804190,1
2020-03-03,1,8804190,1
2020-03-04,5,8804190,1
2020-03-05,3,8804190,1
2020-03-06,8,8804190,1
2020-03-07,7,8804190,1
2020-03-08,21,8804190,1
2020-03-09,57,8804190,1
2020-03-10,69,8804190,1
2020-03-11,155,8804190,1
2020-03-12,355,8804190,1
2020-03-13,619,8804190,1
2020-03-14,642,8804190,1
2020-03-15,1034,8804190,1
2020-03-16,2121,8804190,1
2020-03-17,2452,8804190,1
2020-03-18,2971,8804190,1
2020-03-19,3706,8804190,1
2020-03-20,4007,8804190,1
2020-03-21,2639,8804190,1
2020-03-22,2580,8804190,1
2020-03-23,3570,8804190,1
2020-03-24,4497,8804190,1
2020-03-25,4874,8804190,1
2020-03-26,5044,8804190,1
2020-03-27,5119,8804190,1
2020-03-28,3479,8804190,1
2020-03-29,3560,8804190,1
2020-03-30,6129,8804190,1
2020-03-31,5458,8804190,1
2020-04-01,5449,8804190,1
2020-04-02,5746,8804190,1
2020-04-03,5670,8804190,1
2020-04-04,3866,8804190,1
2020-04-05,3781,8804190,1
2020-04-06,6353,8804190,1
2020-04-07,6044,8804190,1
2020-04-08,5575,8804190,1
2020-04-09,5070,8804190,1
2020-04-10,4510,8804190,1
2020-04-11,3732,8804190,1
2020-04-12,2887,8804190,1
2020-04-13,3311,8804190,1
2020-04-14,4144,8804190,1
2020-04-15,3876,8804190,1
2020-04-16,3530,8804190,1
2020-04-17,3586,8804190,1
2020-04-18,2172,8804190,1
2020-04-19,2343,8804190,1
2020-04-20,3792,8804190,1
2020-04-21,3062,8804190,1
2020-04-22,3446,8804190,1
2020-04-23,2841,8804190,1
2020-04-24,2535,8804190,1
2020-04-25,1595,8804190,1
2020-04-26,1003,8804190,1
2020-04-27,2290,8804190,1
2020-04-28,2726,8804190,1
2020-04-29,2340,8804190,1
2020-04-30,2022,8804190,1
2020-05-01,1887,8804190,1
2020-05-02,1058,8804190,1
2020-05-03,787,8804190,1
2020-05-04,1550,8804190,1
2020-05-05,1512,8804190,1
2020-05-06,1397,8804190,1
2020-05-07,1238,8804190,1
2020-05-08,1079,8804190,1
2020-05-09,657,8804190,1
2020-05-10,457,8804190,1
2020-05-11,1231,8804190,1
2020-05-12,1285,8804190,1
2020-05-13,1333,8804190,1
2020-05-14,1110,8804190,1
2020-05-15,873,8804190,1
2020-05-16,485,8804190,1
2020-05-17,360,8804190,1
2020-05-18,895,8804190,1
2020-05-19,1003,8804190,1
2020-05-20,1077,8804190,1
2020-05-21,1069,8804190,1
2020-05-22,1036,8804190,1
2020-05-23,455,8804190,1
2020-05-24,467,8804190,1
2020-05-25,464,8804190,1
2020-05-26,1050,8804190,1
2020-05-27,741,8804190,1
2020-05-28,646,8804190,1
2020-05-29,638,8804190,1
2020-05-30,346,8804190,1
2020-05-31,230,8804190,1
2020-06-01,686,8804190,1
2020-06-02,570,8804190,1
2020-06-03,515,8804190,1
2020-06-04,517,8804190,1
2020-06-05,402,8804190,1
2020-06-06,247,8804190,1
2020-06-07,197,8804190,1
2020-06-08,447,8804190,1
2020-06-09,419,8804190,1
2020-06-10,363,8804190,1
2020-06-11,363,8804190,1
2020-06-12,409,8804190,1
2020-06-13,196,8804190,1
2020-06-14,180,8804190,1
2020-06-15,380,8804190,1
2020-06-16,419,8804190,NA
2020-06-17,356,8804190,NA
2020-06-18,378,8804190,NA
2020-06-19,361,8804190,NA
2020-06-20,203,8804190,NA
2020-06-21,172,8804190,NA
2020-06-22,402,8804190,NA
2020-06-23,381,8804190,NA
2020-06-24,381,8804190,NA
2020-06-25,298,8804190,NA
2020-06-26,317,8804190,NA
2020-06-27,206,8804190,NA
2020-06-28,201,8804190,NA
2020-06-29,437,8804190,NA
2020-06-30,441,8804190,NA
2020-07-01,395,8804190,NA
2020-07-02,416,8804190,NA
2020-07-03,234,8804190,NA
2020-07-04,120,8804190,NA
2020-07-05,155,8804190,NA
2020-07-06,431,8804190,NA
2020-07-07,461,8804190,NA
2020-07-08,437,8804190,NA
2020-07-09,392,8804190,NA
2020-07-10,306,8804190,NA
2020-07-11,259,8804190,NA
2020-07-12,223,8804190,NA
2020-07-13,483,8804190,NA
2020-07-14,402,8804190,NA
2020-07-15,440,8804190,NA
2020-07-16,411,8804190,NA
2020-07-17,413,8804190,NA
2020-07-18,216,8804190,NA
2020-07-19,176,8804190,NA
2020-07-20,401,8804190,NA
2020-07-21,340,8804190,NA
2020-07-22,329,8804190,NA
2020-07-23,308,8804190,NA
2020-07-24,298,8804190,NA
2020-07-25,153,8804190,NA
2020-07-26,140,8804190,NA
2020-07-27,312,8804190,NA
2020-07-28,313,8804190,NA
2020-07-29,287,8804190,NA
2020-07-30,274,8804190,NA
2020-07-31,262,8804190,NA
2020-08-01,189,8804190,NA
2020-08-02,135,8804190,NA
2020-08-03,348,8804190,NA
2020-08-04,187,8804190,NA
2020-08-05,298,8804190,NA
2020-08-06,288,8804190,NA
2020-08-07,255,8804190,NA
2020-08-08,160,8804190,NA
2020-08-09,133,8804190,NA
2020-08-10,312,8804190,NA
2020-08-11,263,8804190,NA
2020-08-12,320,8804190,NA
2020-08-13,276,8804190,NA
2020-08-14,277,8804190,NA
2020-08-15,151,8804190,NA
2020-08-16,140,8804190,NA
2020-08-17,333,8804190,NA
2020-08-18,283,8804190,NA
2020-08-19,257,8804190,NA
2020-08-20,227,8804190,NA
2020-08-21,252,8804190,NA
2020-08-22,136,8804190,NA
2020-08-23,150,8804190,NA
2020-08-24,297,8804190,NA
2020-08-25,283,8804190,NA
2020-08-26,313,8804190,NA
2020-08-27,274,8804190,NA
2020-08-28,280,8804190,NA
2020-08-29,128,8804190,NA
2020-08-30,186,8804190,NA
2020-08-31,315,8804190,NA
2020-09-01,294,8804190,NA
2020-09-02,271,8804190,NA
2020-09-03,273,8804190,NA
2020-09-04,230,8804190,NA
2020-09-05,156,8804190,NA
2020-09-06,207,8804190,NA
2020-09-07,217,8804190,NA
2020-09-08,393,8804190,NA
2020-09-09,353,8804190,NA
2020-09-10,323,8804190,NA
2020-09-11,313,8804190,NA
2020-09-12,202,8804190,NA
2020-09-13,263,8804190,NA
2020-09-14,461,8804190,NA
2020-09-15,415,8804190,NA
2020-09-16,456,8804190,NA
2020-09-17,441,8804190,NA
2020-09-18,292,8804190,NA
2020-09-19,216,8804190,NA
2020-09-20,220,8804190,NA
2020-09-21,558,8804190,NA
2020-09-22,497,8804190,NA
2020-09-23,612,8804190,NA
2020-09-24,542,8804190,NA
2020-09-25,463,8804190,NA
2020-09-26,280,8804190,NA
2020-09-27,382,8804190,NA
2020-09-28,437,8804190,NA
2020-09-29,723,8804190,NA
2020-09-30,605,8804190,NA
2020-10-01,705,8804190,2
2020-10-02,605,8804190,2
2020-10-03,299,8804190,2
2020-10-04,335,8804190,2
2020-10-05,766,8804190,2
2020-10-06,571,8804190,2
2020-10-07,541,8804190,2
2020-10-08,525,8804190,2
2020-10-09,524,8804190,2
2020-10-10,314,8804190,2
2020-10-11,281,8804190,2
2020-10-12,515,8804190,2
2020-10-13,588,8804190,2
2020-10-14,583,8804190,2
2020-10-15,603,8804190,2
2020-10-16,503,8804190,2
2020-10-17,366,8804190,2
2020-10-18,412,8804190,2
2020-10-19,626,8804190,2
2020-10-20,601,8804190,2
2020-10-21,654,8804190,2
2020-10-22,759,8804190,2
2020-10-23,601,8804190,2
2020-10-24,386,8804190,2
2020-10-25,362,8804190,2
2020-10-26,695,8804190,2
2020-10-27,742,8804190,2
2020-10-28,783,8804190,2
2020-10-29,621,8804190,2
2020-10-30,654,8804190,2
2020-10-31,403,8804190,2
2020-11-01,501,8804190,2
2020-11-02,953,8804190,2
2020-11-03,903,8804190,2
2020-11-04,1113,8804190,2
2020-11-05,1139,8804190,2
2020-11-06,1037,8804190,2
2020-11-07,845,8804190,2
2020-11-08,788,8804190,2
2020-11-09,1545,8804190,2
2020-11-10,1599,8804190,2
2020-11-11,1540,8804190,2
2020-11-12,1501,8804190,2
2020-11-13,1494,8804190,2
2020-11-14,1025,8804190,2
2020-11-15,896,8804190,2
2020-11-16,1832,8804190,2
2020-11-17,1730,8804190,2
2020-11-18,1753,8804190,2
2020-11-19,1857,8804190,2
2020-11-20,1773,8804190,2
2020-11-21,1290,8804190,2
2020-11-22,1148,8804190,2
2020-11-23,2317,8804190,2
2020-11-24,2074,8804190,2
2020-11-25,2370,8804190,2
2020-11-26,817,8804190,2
2020-11-27,2298,8804190,2
2020-11-28,1839,8804190,2
2020-11-29,1891,8804190,2
2020-11-30,2895,8804190,2
2020-12-01,3308,8804190,2
2020-12-02,3129,8804190,2
2020-12-03,2945,8804190,2
2020-12-04,2816,8804190,2
2020-12-05,1887,8804190,2
2020-12-06,1754,8804190,2
2020-12-07,3304,8804190,2
2020-12-08,3059,8804190,2
2020-12-09,3106,8804190,2
2020-12-10,3149,8804190,2
2020-12-11,2980,8804190,2
2020-12-12,2206,8804190,2
2020-12-13,2176,8804190,2
2020-12-14,3580,8804190,2
2020-12-15,3681,8804190,2
2020-12-16,2787,8804190,2
2020-12-17,1926,8804190,2
2020-12-18,3427,8804190,2
2020-12-19,2557,8804190,2
2020-12-20,2346,8804190,2
2020-12-21,4338,8804190,2
2020-12-22,4102,8804190,2
2020-12-23,3844,8804190,2
2020-12-24,3015,8804190,2
2020-12-25,1046,8804190,2
2020-12-26,3454,8804190,2
2020-12-27,2889,8804190,2
2020-12-28,5391,8804190,2
2020-12-29,5206,8804190,2
2020-12-30,4985,8804190,2
2020-12-31,3393,8804190,2
2021-01-01,1340,8804190,2
2021-01-02,4200,8804190,2
2021-01-03,3465,8804190,2
2021-01-04,6603,8804190,2
2021-01-05,6157,8804190,2
2021-01-06,5685,8804190,2
2021-01-07,5445,8804190,2
2021-01-08,5301,8804190,2
2021-01-09,3691,8804190,2
2021-01-10,3199,8804190,2
2021-01-11,5915,8804190,2
2021-01-12,5237,8804190,2
2021-01-13,5178,8804190,2
2021-01-14,5259,8804190,2
2021-01-15,4850,8804190,2
2021-01-16,3481,8804190,2
2021-01-17,2919,8804190,2
2021-01-18,4645,8804190,2
2021-01-19,5141,8804190,2
2021-01-20,4908,8804190,2
2021-01-21,4940,8804190,2
2021-01-22,4716,8804190,2
2021-01-23,3462,8804190,2
2021-01-24,2930,8804190,2
2021-01-25,5816,8804190,2
2021-01-26,4864,8804190,2
2021-01-27,5007,8804190,2
2021-01-28,4794,8804190,2
2021-01-29,3671,8804190,2
2021-01-30,2877,8804190,2
2021-01-31,2894,8804190,2
2021-02-01,980,8804190,2
2021-02-02,2659,8804190,2
2021-02-03,5145,8804190,2
2021-02-04,4851,8804190,2
2021-02-05,4158,8804190,2
2021-02-06,3080,8804190,2
2021-02-07,1645,8804190,2
